"Roll
No.",Student Name,09-Jan,10-Jan,16-Jan,17-Jan,23-Jan,24-Jan,30-Jan,31-Jan,Curent Month's Lect.,Unnamed: 11,Unnamed: 12,Overall Lect.,Unnamed: 14,Unnamed: 15,present_days,absent_days,total_classes,attendance_percentage,present_ratio,absent_ratio,attendance_category_low,attendance_category_medium,attendance_category_high
1.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
2.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
3.0,,,,,,,,,,7.0,8,,7,8,,0.5,0.25,0.5,-0.2355036012381866,0.8571428571428571,0.1428571428571428,False,False,True
4.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
5.0,,,,,,,,,,6.0,8,,6,8,,0.5,0.5,1.0,-1.0583808902704388,0.75,0.25,False,True,False
6.0,,,,,,,,,,7.0,8,,7,8,,0.25,0.25,0.0,-0.4183652210231305,0.8333333333333334,0.1666666666666666,False,False,True
7.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
8.0,,,,,,,,,,4.0,8,,4,8,,0.0,1.0,1.0,-2.9784278980123617,0.5,0.5,True,False,False
9.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
10.0,,,,,,,,,,6.0,8,,6,8,,0.5,0.5,1.0,-1.0583808902704388,0.75,0.25,False,True,False
11.0,,,,,,,,,,6.0,8,,6,8,,0.5,0.5,1.0,-1.0583808902704388,0.75,0.25,False,True,False
12.0,,,,,,,,,,7.0,8,,7,8,,0.75,0.25,1.0,-0.0983573863994773,0.875,0.125,False,False,True
13.0,,,,,,,,,,7.129032258064516,8,,6,8,,0.5,0.25,0.5,-0.2355036012381866,0.8571428571428571,0.1428571428571428,False,False,True
14.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
15.0,,,,,,,,,,5.0,8,,5,8,,0.25,0.75,1.0,-2.0184043941414003,0.625,0.375,False,True,False
16.0,,,,,,,,,,7.0,8,,7,8,,0.75,0.25,1.0,-0.0983573863994773,0.875,0.125,False,False,True
17.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
18.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
19.0,,,,,,,,,,7.129032258064516,8,,7,8,,0.75,0.25,1.0,-0.0983573863994773,0.875,0.125,False,False,True
20.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
21.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
22.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
23.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
24.0,,,,,,,,,,7.0,8,,7,8,,0.75,0.25,1.0,-0.0983573863994773,0.875,0.125,False,False,True
25.0,,,,,,,,,,7.0,8,,7,8,,0.75,0.25,1.0,-0.0983573863994773,0.875,0.125,False,False,True
26.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
27.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
28.0,,,,,,,,,,7.0,8,,7,8,,0.75,0.25,1.0,-0.0983573863994773,0.875,0.125,False,False,True
29.0,,,,,,,,,,8.0,8,,8,8,,1.0,0.0,1.0,0.8616661174714841,1.0,0.0,False,False,True
30.0,,,,,,,,,,6.0,8,,6,8,,0.5,0.5,1.0,-1.0583808902704388,0.75,0.25,False,True,False
31.0,,,,,,,,,,7.0,8,,7,8,,0.75,0.25,1.0,-0.0983573863994773,0.875,0.125,False,False,True
32.0,,,,,,,,,,7.0,8,,7,8,,0.75,0.25,1.0,-0.0983573863994773,0.875,0.125,False,False,True
33.0,,,,,,,,,,5.0,8,,5,8,,0.25,0.75,1.0,-2.0184043941414003,0.625,0.375,False,True,False
